10000 204786
0 51 2.64125
0 76 3.1289
0 122 4.96431
0 191 0.950204
0 198 4.42542
0 249 1.5999
0 297 3.40835
0 307 0.861724
0 309 2.93044
0 326 4.40164
0 390 4.29987
0 456 3.60732
0 557 1.12086
0 558 3.49147
0 634 4.08999
0 708 4.23007
0 722 0.568922
0 816 0.930446
0 820 4.94677
0 864 3.66556
0 885 2.46767
0 945 3.54964
0 1001 1.66739
0 1029 3.30861
0 1056 1.5276
0 1077 0.312386
0 1164 3.30721
0 1183 0.24831
0 1342 1.68075
0 1422 3.12491
0 1502 1.67228
0 1661 1.99112
0 1738 2.99922
0 1824 2.73135
0 1877 1.44819
0 1909 2.4535
1 8 3.11211
1 28 4.97351
1 60 1.81522
1 92 4.75449
1 216 3.11753
1 241 1.31813
1 291 1.04891
1 306 0.21094
1 322 3.15804
1 324 1.84188
1 330 1.08959
1 338 1.43698
1 411 1.15034
1 457 0.294077
1 462 3.17542
1 574 2.26713
1 591 3.30191
1 623 4.58261
1 646 3.20763
1 709 1.74648
1 741 2.53237
1 745 3.52194
1 796 3.23805
1 824 2.53691
1 853 2.60453
1 902 4.50826
1 911 4.49759
1 977 4.2552
1 1096 1.92376
1 1166 1.99425
1 1190 3.44232
1 1285 2.70286
1 1315 3.23401
1 1320 4.47862
1 1404 2.17956
1 1511 0.496026
1 1600 1.26383
1 1660 1.0869
1 1681 1.89973
1 1695 4.53004
1 1788 2.53139
2 19 2.40943
2 36 4.60391
2 113 2.01078
2 166 4.80088
2 235 1.1929
2 250 2.31447
2 277 3.09073
2 285 1.90675
2 306 1.38624
2 344 4.48579
2 391 2.17249
2 401 3.01655
2 453 4.57395
2 575 4.06794
2 637 3.07153
2 744 4.91973
2 771 3.06004
2 807 1.32761
2 816 4.1363
2 822 2.33696
2 1011 4.55764
2 1177 3.07114
2 1475 0.275255
2 1498 3.50037
2 1544 4.48692
2 1617 2.34566
2 1710 2.92564
2 1832 0.144747
2 1845 4.67107
3 30 4.21658
3 47 1.88724
3 161 1.26045
3 164 1.80807
3 233 0.584708
3 305 1.21764
3 343 2.67707
3 625 0.378214
3 664 3.40582
3 704 0.87244
3 816 3.7544
3 1043 0.559716
3 1047 0.876292
3 1115 3.14234
3 1132 0.425301
3 1144 3.76307
3 1250 1.76732
3 1293 3.04827
3 1362 4.85964
3 1413 0.634112
3 1427 1.91523
3 1446 2.51635
3 1519 0.652718
3 1552 2.06368
3 1585 2.94968
3 1647 2.13313
3 1672 2.57136
3 1815 2.79521
3 1863 2.19206
3 1946 4.36482
4 10 3.69454
4 127 2.1764
4 267 1.89532
4 298 3.35918
4 394 1.16898
4 400 4.09971
4 407 4.52964
4 429 2.85717
4 492 2.73381
4 643 0.262867
4 692 3.98257
4 701 2.93033
4 889 0.596364
4 893 1.15532
4 1000 3.52001
4 1008 0.742434
4 1030 0.816711
4 1062 0.250644
4 1099 1.02666
4 1110 3.08441
4 1168 0.227823
4 1173 2.58554
4 1188 0.598386
4 1409 4.25908
4 1454 3.80708
4 1553 1.57599
4 1608 2.16596
4 1630 2.68548
4 1653 0.483351
4 1695 4.8848
4 1756 0.44793
4 1783 3.9644
5 123 0.639045
5 141 0.856343
5 167 3.20532
5 205 0.33347
5 329 1.45153
5 371 4.11068
5 471 0.14094
5 474 2.90325
5 479 4.49895
5 526 2.35736
5 545 4.56925
5 582 0.750111
5 672 4.79397
5 718 1.64361
5 748 4.6831
5 779 4.6814
5 893 3.93683
5 942 1.51882
5 1045 1.76534
